id,status,age,activities num,language num,scholarship,secondary_education num,tertiary_education num,honour,major_of_tertiary_education,qualification_of_tertiary_education,study_mode_of_tertiary_education,university_of_tertiary_education,study time,working_exp num,working_exp total duration_months,
25557,invited,21,3,3,0,1,2,Second Upper,Business Administration,Bachelor,Full Time,The Hong Kong University of Science and Technology,44,5,12,
25558,invited,21,2,3,0,1,2,Second Upper,Others,Associate Degree,Full Time,The Hong Kong Polytechnic University,21,6,34,
25560,invited,21,0,3,0,2,1,Second Upper,Others,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,3,6,
25563,invited,23,1,3,4,1,2,First,Others,Bachelor,Full Time,Others,45,2,9,
25566,invited,22,2,3,0,1,2,Second Upper,Accounting,Master,Full Time,London School of Economics and Political Science (LSE),9,1,1,
25567,rejected,21,5,3,0,1,2,Second Upper,Business Administration,Bachelor,Full Time,The Chinese University of Hong Kong,46,4,29,
25568,invited,21,2,3,0,1,1,Second Upper,Economics,Bachelor,Full Time,The University of Hong Kong,45,3,39,
25569,invited,24,9,3,4,1,2,Second Upper,Others,Bachelor,Full Time,The Hong Kong Polytechnic University,23,6,54,
25570,invited,22,0,3,0,1,2,Second Upper,Accounting,Bachelor,Full Time,The University of Hong Kong,57,7,34,
25574,invited,22,4,3,0,1,2,Second Upper,Finance,Bachelor,Full Time,Indiana University Bloomington,23,4,16,
25576,rejected,21,2,3,0,1,1,Second Lower,Marketing,Bachelor,Full Time,The Hong Kong University of Science and Technology,44,3,9,
25579,invited,21,3,3,0,1,1,Second Upper,Business Administration,Bachelor,Full Time,The University of Hong Kong,46,4,19,
25580,invited,22,1,3,0,1,1,Second Upper,Laws,Bachelor,Full Time,The University of Hong Kong,57,6,8,
25581,invited,25,1,3,0,1,1,Second Upper,Others,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,1,1,
25583,invited,22,1,5,2,2,1,Second Upper,Others,Bachelor,Full Time,The University of Hong Kong,45,3,24,
25584,invited,21,3,4,0,1,1,Second Upper,Marketing,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,4,23,
25585,invited,21,1,5,0,1,1,Second Upper,Public Policy and Politics,Bachelor,Full Time,City University of Hong Kong,47,3,9,
25589,rejected,23,2,3,0,1,1,Second Lower,Others,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,2,16,
25590,invited,0,5,4,2,1,2,Second Upper,Business Administration,Bachelor,Full Time,The University of Hong Kong,58,5,102,
25592,invited,21,0,3,0,1,1,Second Upper,Economics,Bachelor,Full Time,The University of Hong Kong,45,3,58,
25593,invited,22,4,3,0,1,2,Second Upper,Finance,Bachelor,Full Time,The Hong Kong University of Science and Technology,56,5,20,
25594,invited,21,2,3,1,1,1,Second Upper,Others,Bachelor,Full Time,The University of Hong Kong,45,5,30,
25595,rejected,22,3,3,1,1,1,Second Upper,Finance,Bachelor,Full Time,The Chinese University of Hong Kong,57,5,21,
