id,status,age,activities num,language num,scholarship,secondary_education num,tertiary_education num,honour,major_of_tertiary_education,qualification_of_tertiary_education,study_mode_of_tertiary_education,university_of_tertiary_education,study time,working_exp num,working_exp total duration_months,
16791,1,21,3,4,0,1,1,2,8,2,0,67,46,3,8,
16795,-1,30,1,2,1,1,2,0,3,3,2,13,42,0,0,
16796,-1,21,0,2,0,0,1,4,20,2,0,13,41,1,4,
16800,-1,22,0,2,0,1,1,2,10,2,0,13,39,1,6,
16801,1,23,1,4,0,2,1,2,8,3,0,19,46,2,3,
16810,-1,27,3,2,0,1,1,4,22,2,0,136,46,4,28,
16812,1,22,1,2,0,1,1,2,3,2,0,136,47,1,3,
16821,-1,28,1,2,3,1,3,1,8,3,0,13,27,1,6,
16823,-1,29,0,2,0,1,2,1,3,3,0,13,12,1,61,
16826,1,21,1,3,0,1,1,2,15,2,0,67,46,3,7,
16836,1,22,9,4,1,1,1,1,8,2,0,13,37,2,44,
16840,-1,24,2,2,1,1,1,4,22,2,0,96,59,2,26,
16844,-1,26,2,4,1,2,1,3,6,2,0,96,47,1,3,
16848,-1,23,1,4,1,1,1,4,33,2,0,96,47,2,16,
16851,1,22,3,3,0,1,3,1,10,2,0,13,10,3,13,
16856,-1,26,2,2,1,0,1,4,18,2,0,136,47,4,39,
16857,-1,25,2,2,0,0,1,4,3,3,0,136,35,4,17,
16858,1,23,2,2,0,1,2,2,8,2,0,124,34,3,9,
16861,-1,24,0,2,0,1,1,1,8,2,1,13,23,3,7,
16862,-1,23,3,2,0,1,2,3,10,2,0,61,30,2,5,
16863,-1,30,0,2,0,1,1,2,11,2,0,13,48,4,83,
16868,1,25,2,2,2,1,2,2,10,3,0,133,10,3,20,
16870,1,23,3,3,0,1,1,1,8,2,0,101,46,5,43,
16875,-1,27,0,0,1,2,2,1,3,3,0,13,12,0,0,
16877,1,23,0,2,0,0,1,2,19,3,0,23,12,2,12,
16881,-1,22,2,2,0,1,1,3,8,2,0,13,47,2,6,
16884,1,25,3,3,1,0,3,4,10,3,0,13,53,4,21,
16885,1,25,0,3,1,1,3,2,1,3,0,73,10,4,19,
16891,-1,25,1,3,1,1,1,4,3,2,0,35,46,3,22,
16905,-1,24,1,2,0,1,1,2,22,2,0,69,47,1,4,
16909,-1,34,0,3,0,0,2,2,8,2,2,25,32,4,138,
16913,-1,22,3,3,0,1,1,2,15,2,0,78,24,1,2,
16917,-1,22,3,3,0,1,1,2,12,2,0,35,46,3,6,
16919,-1,23,1,3,0,1,1,2,30,2,0,35,46,3,17,
16920,-1,25,0,2,0,0,1,4,0,2,1,101,23,2,21,
16923,-1,25,1,3,0,0,1,3,3,2,0,96,45,1,30,
16924,1,24,3,3,0,2,2,0,10,3,0,61,22,3,8,
16928,-1,21,1,3,1,1,1,2,15,2,0,35,46,4,12,
16936,1,24,5,5,1,1,1,2,27,2,0,96,58,3,8,
16942,-1,26,2,3,0,1,2,0,8,2,0,61,41,7,28,
16946,1,21,4,3,0,1,1,2,29,2,0,67,48,3,9,
16948,1,25,0,2,0,0,1,1,11,2,0,13,48,1,46,
16952,1,24,1,3,2,1,2,1,17,2,0,27,45,3,6,
16953,-1,36,0,3,0,0,2,4,8,3,0,13,34,3,103,
16955,1,22,3,4,0,1,3,4,8,2,0,96,45,3,13,
16958,1,23,0,3,0,1,1,1,8,2,0,107,35,1,27,
16960,-1,21,4,3,3,1,1,1,15,2,0,35,45,3,8,
16961,-1,22,1,3,1,1,1,3,10,2,0,61,41,0,0,
16962,1,23,1,3,1,2,1,2,8,2,0,67,57,4,12,
16966,-1,24,2,3,0,2,1,2,22,2,0,0,47,1,4,
16972,-1,24,1,2,0,1,1,4,8,2,0,13,58,3,11,
